1	53 93 136 199 289 
2	69 115 194 206 260 
3	239 240 262 263 297 
4	17 48 179 266 290 
5	12 188 206 261 293 
6	80 89 102 267 292 
7	73 74 120 215 293 
8	14 31 152 157 236 
9	20 39 65 78 103 
10	66 86 190 197 278 
11	86 166 241 269 274 
12	80 123 132 213 259 
13	66 73 105 165 199 
14	71 120 157 225 264 
15	27 94 111 189 256 
16	54 62 84 109 245 
17	3 71 91 125 177 
18	158 205 231 240 245 
19	8 20 179 273 286 
20	12 58 103 130 288 
21	160 185 208 246 251 
22	29 44 47 66 77 
23	12 45 290 300 303 
24	18 134 183 272 298 
25	29 78 80 164 214 
26	124 221 255 273 293 
27	36 61 125 140 141 
28	78 92 93 208 278 
29	38 47 65 69 216 
30	22 111 234 251 264 
31	15 112 152 194 223 
32	51 54 122 154 232 
33	68 193 221 279 297 
34	89 159 205 219 224 
35	6 9 113 141 260 
36	32 44 94 255 265 
37	87 139 166 181 252 
38	38 131 151 179 288 
39	84 102 109 192 258 
40	89 90 145 292 301 
41	40 130 132 178 188 
42	78 114 162 219 282 
43	84 110 145 157 158 
44	65 125 232 259 278 
45	92 102 225 228 282 
46	20 105 161 207 291 
47	10 82 230 289 296 
48	68 144 166 171 182 
49	47 57 214 223 299 
50	14 142 195 237 286 
51	29 74 198 204 256 
52	73 92 130 144 261 
53	10 35 61 223 286 
54	61 74 132 221 261 
55	12 51 64 178 185 
56	16 51 62 151 245 
57	4 98 212 213 225 
58	49 84 249 261 293 
59	9 96 103 185 200 
60	39 94 189 275 291 
61	8 71 159 190 294 
62	22 59 94 250 261 
63	34 123 128 208 248 
64	4 8 45 67 151 
65	30 139 165 202 222 
66	45 105 107 242 266 
67	15 54 191 262 268 
68	65 126 138 176 178 
69	5 22 110 241 298 
70	92 107 128 197 298 
71	13 25 138 267 287 
72	6 108 126 163 258 
73	79 93 124 187 246 
74	12 80 168 300 301 
75	4 67 103 235 249 
76	138 145 154 156 163 
77	22 114 149 155 200 
78	58 205 240 261 273 
79	121 130 148 173 226 
80	52 141 212 290 301 
81	11 157 220 239 257 
82	46 166 177 265 299 
83	39 103 111 131 246 
84	62 114 170 183 202 
85	100 101 191 193 279 
86	44 123 184 232 239 
87	97 119 124 148 160 
88	43 47 71 185 265 
89	22 131 143 228 261 
90	68 107 199 280 299 
91	34 140 188 198 300 
92	18 102 114 270 284 
93	29 43 115 144 213 
94	151 166 202 240 300 
95	54 94 152 201 292 
96	36 68 159 175 262 
97	76 123 167 168 245 
98	4 33 118 130 265 
99	44 95 116 194 302 
100	112 113 169 193 297 
101	43 85 110 121 164 
102	17 63 70 85 299 
