degree distribution (probability density function of the degree in logarithmic bins) 
23.8433	0.0293687
28.2599	0.03637
34.2746	0.0180453
41.3291	0.0143991
51.1502	0.0106311
61.875	0.00656045
75.3787	0.00569263
92.7419	0.00343132
112.558	0.00236421
137	0.00143799

degree distribution (degree-occurrences) 
21	0.0005
22	0.003
23	0.0545
24	0.035
25	0.041
26	0.0405
27	0.042
28	0.0325
29	0.0265
30	0.0325
31	0.028
32	0.028
33	0.0215
34	0.0155
35	0.019
36	0.022
37	0.016
38	0.02
39	0.018
40	0.013
41	0.0125
42	0.0155
43	0.011
44	0.012
45	0.008
46	0.0085
47	0.011
48	0.015
49	0.0115
50	0.013
51	0.0095
52	0.0085
53	0.01
54	0.0085
55	0.0105
56	0.009
57	0.0115
58	0.007
59	0.0055
60	0.0085
61	0.011
62	0.003
63	0.0045
64	0.0065
65	0.0065
66	0.004
67	0.005
68	0.007
69	0.0065
70	0.0065
71	0.0095
72	0.004
73	0.0055
74	0.006
75	0.0085
76	0.006
77	0.002
78	0.0045
79	0.006
80	0.0065
81	0.0055
82	0.0025
83	0.005
84	0.003
85	0.003
86	0.003
87	0.0015
88	0.003
89	0.0055
90	0.0045
91	0.0025
92	0.004
93	0.0035
94	0.0025
95	0.0045
96	0.003
97	0.005
98	0.005
99	0.002
100	0.005
101	0.0015
102	0.0025
103	0.0025
104	0.002
105	0.0025
106	0.002
107	0.0015
108	0.003
109	0.002
110	0.002
111	0.003
112	0.003
113	0.0025
114	0.002
115	0.0045
116	0.0005
117	0.002
118	0.002
119	0.0025
120	0.0035
121	0.0025
122	0.0015
123	0.0025
124	0.0025
125	0.0005
126	0.0005
127	0.0005
128	0.002
129	0.001
130	0.002
131	0.0005
132	0.0015
133	0.002
134	0.0035
135	0.001
136	0.001
137	0.0025
138	0.003
139	0.001
140	0.001
142	0.001
143	0.001
144	0.0015
145	0.0025
146	0.0015
147	0.0005
148	0.002
149	0.0015
150	0.001


--------------------------------------
community distribution (size-occurrences)
13	0.0576923
14	0.0769231
15	0.0192308
21	0.0384615
23	0.0576923
25	0.0384615
26	0.0384615
28	0.0192308
35	0.0192308
36	0.0384615
38	0.0192308
44	0.0192308
45	0.0192308
46	0.0192308
47	0.0384615
48	0.0192308
49	0.0192308
51	0.0192308
52	0.0384615
53	0.0192308
56	0.0384615
57	0.0192308
60	0.0192308
62	0.0192308
64	0.0192308
66	0.0384615
68	0.0192308
69	0.0192308
71	0.0192308
72	0.0192308
75	0.0192308
80	0.0192308
85	0.0192308
86	0.0192308
87	0.0192308
93	0.0192308
97	0.0192308


--------------------------------------
mixing parameter
0.451613	0.0005
0.46047	0.0015
0.468627	0.001
0.480381	0.079
0.486801	0.0845
0.493386	0.0945
0.5	0.4705
0.506551	0.0885
0.512612	0.0685
0.519348	0.1005
0.529631	0.001
0.539803	0.0035
0.545232	0.003
0.5505	0.0015
0.558824	0.0005
0.565217	0.0005
0.571429	0.0005
0.580357	0.0005

--------------------------------------
